genus,S_1,S_2,S_3,S_4,W_1,W_2,W_3,W_4,PETS_1,PETS_2,PETS_3,PETS_4,PETW_1,PETW_2,PETW_3,PETW_4,EVS_1,EVS_2,EVS_3,EVS_4,EVW_1,EVW_2,EVW_3,EVW_4,PETEVS_1,PETEVS_2,PETEVS_3,PETEVS_4,PETEVW_1,PETEVW_2,PETEVW_3,PETEVW_4
g__BRH-c57,0,0,0,0.005418733,0,0,0.130049581,0.018965564,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.013546831,0.037931128,0,0
g__Bryobacter,0.176108808,0.411823674,0.387439378,0.224877401,0.083990355,0.140887047,0.230296134,0.222168035,0.609607413,0.758622558,0.484976564,0.550001355,0,0,0,0.013546831,0,0,0.081280988,0.008128099,0.119212116,0.051477959,0.018965564,0.02167493,0.135468314,0.035221762,0.04334986,0,0.005418733,0.051477959,0,0.143596413
g__BSV13,0,0.016256198,0.008128099,0.010837465,0,0,0,0,0.037931128,0.016256198,0.056896692,0.02167493,0,0,0,0,0,0,0.005418733,0,0,0.008128099,0,0,0.027093663,0,0,0,0,0,0,0
g__Burkholderia-Caballeronia-Paraburkholderia,0,0,0,0,0,0,0,0,0.067734157,0.016256198,0.013546831,0.032512395,0,0,0,0,0,0,0.018965564,0,0.140887047,0,0,0,0,0,0,0,0,0,0,0
g__Butyricicoccus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.105665285,0,0.032512395,0.335961419,0.100246552,0.238424233,0,0
g__Butyricimonas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.249261698,0.086699721,0.016256198,0,0
g__C1-B045,0,0,0,0,0,0,0.005418733,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
g__Caedibacter,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
g__Caenimonas,0,0,0,0,0.024384297,0,0,0.018965564,0.04334986,0,0.037931128,0,0,0,0.005418733,0.005418733,0,0,0.005418733,0,0,0,0,0,0.113793384,0.037931128,0.081280988,0,0.013546831,0,0,0
g__Caldicoprobacter,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.010837465,0,0,0
g__Candidatus_Accumulibacter,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
g__Candidatus_Alysiosphaera,0,0,0,0.008128099,0,0.008128099,0.005418733,0.018965564,0.070443523,0.04334986,0.027093663,0.054187326,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
g__Candidatus_Amoebophilus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
g__Candidatus_Berkiella,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.008128099,0,0
g__Candidatus_Brocadia,0,0,0,0,0,0,0,0,0.010837465,0,0.02167493,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
g__Candidatus_Captivus,0,0,0,0,0,0,0,0.010837465,0,0.008128099,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.027093663
g__Candidatus_Chloroploca,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
g__Candidatus_Cryptoprodotis,0,0,0,0,0.035221762,0.02167493,0.027093663,0.067734157,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.027093663,0,0,0.02167493,0,0
g__Candidatus_Dichloromethanomonas,0,0.008128099,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
g__Candidatus_Endoecteinascidia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.008128099,0,0,0,0,0,0,0,0
g__Candidatus_Finniella,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
g__Candidatus_Jidaibacter,0,0,0,0,0.005418733,0,0,0,0,0,0,0,0,0,0,0,0.013546831,0,0.013546831,0,0.010837465,0,0,0,0,0,0,0,0.005418733,0.005418733,0.010837465,0.181527541
g__Candidatus_Koribacter,0.184236907,0.287192826,0.246552331,0.04334986,0,0,0,0,0.547291988,0.13817768,0.48768593,0.799263052,0,0,0,0.013546831,0,0,0.035221762,0,0.016256198,0.008128099,0,0,0.13817768,0,0.02167493,0,0.005418733,0,0,0
g__Candidatus_Latescibacter,0,0,0.013546831,0,0,0,0,0,0.051477959,0.02167493,0.024384297,0.059606058,0,0,0,0,0,0,0.037931128,0,0.005418733,0.008128099,0,0,0.005418733,0,0,0,0,0,0,0
g__Candidatus_Megaira,0,0,0,0,0,0,0.005418733,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.008128099,0
g__Candidatus_Nitrotoga,0,0,0,0.008128099,0,0,0,0,0.013546831,0.135468314,0,0,0,0,0,0,0.016256198,0,0.059606058,0.037931128,0.027093663,0.016256198,0,0,0.010837465,0,0.029803029,0,0,0,0,0
g__Candidatus_Omnitrophus,0,0,0,0,0,0,0,0,0.02167493,0.008128099,0.016256198,0.005418733,0,0,0,0,0.016256198,0,0.056896692,0,0.005418733,0,0,0,0,0,0,0,0,0,0,0
g__Candidatus_Ovatusbacter,0,0,0,0,0,0,0,0,0,0.008128099,0,0,0,0.002709366,0.008128099,0,0,0,0.008128099,0,0.005418733,0,0,0,0,0,0,0,0,0,0,0
g__Candidatus_Paenicardinium,0,0,0,0,0,0,0,0.008128099,0,0,0,0,0.005418733,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
g__Candidatus_Paracaedibacter,0,0,0,0,0,0,0,0,0.008128099,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.086699721,0,0,0,0,0,0,0.075862256
g__Candidatus_Protochlamydia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
g__Candidatus_Saccharimonas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.018965564,0,0,0,0,0.016256198,0,0
g__Candidatus_Soleaferrea,0,0,0,0,0,0,0,0,0.005418733,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
g__Candidatus_Solibacter,0.184236907,0.34950825,0.308867756,0.295320924,0,0,0.005418733,0,1.517245116,1.785472378,1.582269907,1.257145954,0,0,0,0,0,0.008128099,0.035221762,0.008128099,0.035221762,0,0,0,0.046059227,0.008128099,0.013546831,0,0,0.002709366,0.013546831,0
g__Candidatus_Stoquefichus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
g__Candidatus_Trichorickettsia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
g__Candidatus_Udaeobacter,0.100246552,0.040640494,0.048768593,0.002709366,0,0,0,0,0.203202471,0.024384297,0.208621204,0.165271343,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.059606058,0,0,0,0,0
g__Candidatus_Xiphinematobacter,0,0,0,0,0,0,0,0,0.016256198,0,0.04334986,0.010837465,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
g__Caproiciproducens,0,0,0,0,0,0,0,0,0.024384297,0,0.059606058,0.024384297,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
g__Castellaniella,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
g__Catellatospora,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.010837465,0,0,0,0,0,0
g__Catenulispora,0,0,0,0,0,0,0,0,0,0.002709366,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
g__Caulobacter,0.357636349,0.30615839,0.121921483,0.270936628,0.111084017,0.346798884,0.124630849,0.15985261,0,0,0,0,0.281774093,0.048768593,0.013546831,0.010837465,0.105665285,0,0.02167493,0.016256198,0.056896692,0.046059227,0,0,0.682760302,0.11650275,0.070443523,0.197783738,0.010837465,0,0.018965564,0
g__Cellulomonas,0,0,0,0,0,0,0,0,0,0,0,0.013546831,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
g__Cellulosilyticum,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
g__Cellvibrio,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002709366,0,0,0,0.013546831,0.013546831,0.002709366,0,0,0.005418733,0.078571622,0,0,0.013546831,0,0.024384297
g__CENA533,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
g__Cephaloticoccus,0,0,0,0,0.013546831,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
g__Cetobacterium,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
g__Chitinivorax,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005418733,0,0,0,0,0,0,0,0,0,0,0,0,0
g__Chloronema,0.005418733,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
g__Christensenellaceae_R-7_group,0,0,0,0.016256198,0,0,0,0,0.092118453,0.054187326,0.086699721,0.04334986,0,0,0,0,0.002709366,0,0.037931128,0.005418733,0.005418733,0,0,0,0.184236907,0,0.11650275,0.09482782,0.035221762,0.130049581,0,0
g__Chroococcidiopsis_SAG_2023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
g__Chryseobacterium,0.008128099,0.018965564,0,0,0,0,0,0,0,0,0,0,0,0.002709366,0,0,0.005418733,0,0.005418733,0.005418733,0.010837465,0.002709366,0.002709366,0,0.065024791,0.008128099,0,0,0,0,0,0.124630849
g__Chryseolinea,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
g__Chryseomicrobium,0,0,0,0.024384297,0.013546831,0.018965564,0,0,0,0,0,0,0,0.008128099,0,0,0,0,0,0,0,0,0,0,0.048768593,0,0,0,0,0,0,0.02167493
g__Chthoniobacter,0,0,0,0,0.002709366,0,0.046059227,0.008128099,0,0.002709366,0.027093663,0.024384297,0,0,0,0,0,0,0.005418733,0,0,0,0,0,0,0,0,0,0,0,0,0
g__Chthonobacter,0,0,0.067734157,0,0.035221762,0.048768593,0.051477959,0.059606058,0.056896692,0.046059227,0,0.032512395,0.005418733,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005418733,0.029803029
g__Chthonomonas,0,0,0,0,0,0,0,0,0.008128099,0,0,0.010837465,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
g__Chungangia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
g__Ciceribacter,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
g__Citrifermentans,0,0,0.013546831,0.016256198,0,0,0,0,0.078571622,0,0.051477959,0.075862256,0,0,0,0,0.008128099,0,0.008128099,0,0.005418733,0,0,0,0,0,0,0,0,0.002709366,0,0
g__CL500-29_marine_group,0,0,0,0,0.078571622,0,0.037931128,0.02167493,0.018965564,0.056896692,0.124630849,0.059606058,0,0,0.018965564,0.010837465,0,0,0,0,0,0.005418733,0,0,0,0.008128099,0,0,0,0.040640494,0,0.013546831
g__CL500-3,0,0,0,0,0.008128099,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
g__Cloacibacterium,0,0,0,0,0,0,0,0,0,0,0,0,0.005418733,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.008128099,0,0.067734157
g__Clostridium_innocuum_group,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.040640494,0,0
g__Clostridium_sensu_stricto_1,0.02167493,0.010837465,0,0,0.018965564,0,0.02167493,0.032512395,0.690888401,0.739656994,0.525617058,0.731528895,0,0,0,0,0,0.008128099,0.02167493,0,0,0,0,0.005418733,0.024384297,0,0,0,0.008128099,0.010837465,0,0
g__Clostridium_sensu_stricto_10,0,0.21133057,0.07315289,0,0,0,0,0,0.382020645,0.365764448,0.325123954,0.403695576,0,0,0,0,0.008128099,0,0,0,0,0,0,0,0,0.018965564,0,0,0,0,0,0
g__Clostridium_sensu_stricto_11,0,0,0,0,0,0,0,0,0.07315289,0.09482782,0.097537186,0.108374651,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
g__Clostridium_sensu_stricto_12,0,0,0,0,0,0,0,0,0.352217616,0.384730012,0.311577122,0.298030291,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
